dk_name,dk_id
Jauan Jennings,39506147
Matthew Golden,39506151
DJ Giddens,39505863
Spencer Rattler,39505715
Tyler Shough,39505716
Jake Haener,39505717
Austin Ekeler,39505859
Jaleel McLaughlin,39505861
Brandon Aiyuk,39506155
Jayden Higgins,39506153
Andy Dalton,39505718
David Njoku,39506685
Tyjae Spears,39505865
MarShawn Lloyd,39505869
Dameon Pierce,39505867
Christian Kirk,39506159
Emeka Egbuka,39506165
Josh Downs,39506161
Trey Benson,39505873
Rashid Shaheed,39506163
Tank Bigsby,39505871
Zack Moss,39505877
Malik Willis,39505719
Joshua Dobbs,39505726
Antonio Gibson,39505879
Jameis Winston,39505721
Marcus Mariota,39505724
Jaxson Dart,39505725
Wan'Dale Robinson,39506167
Trevor Etienne,39505885
Marvin Mims Jr.,39506169
Evan Engram,39506687
Ricky Pearsall,39506171
Hendon Hooker,39505722
Davis Mills,39505723
Blake Corum,39505881
Jarquez Hunter,39505883
Tyrod Taylor,39505728
Calvin Austin III,39506177
Alexander Mattison,39505887
Alec Pierce,39506175
Tyler Warren,39506689
Jacoby Brissett,39505727
Bhayshul Tuten,39505893
Pierre Strong Jr.,39505889
Cedric Tillman,39506173
Kenny McIntosh,39505891
Kyle Pitts Sr.,39506691
Zach Wilson,39505735
Khalil Herbert,39505897
Kendre Miller,39505895
Dyami Brown,39506181
Jarrett Stidham,39505732
Audric Estime,39505899
Drew Lock,39505731
Jalen Milroe,39505733
Jordan James,39505903
Romeo Doubs,39506179
Aidan O'Connell,39505736
DeMario Douglas,39506189
Mason Rudolph,39505738
Kenneth Gainwell,39505907
Jonnu Smith,39506693
Ollie Gordon II,39505909
Michael Wilson,39506187
Xavier Legette,39506185
Emanuel Wilson,39505905
Jack Bech,39506195
Cordarrelle Patterson,39505913
Kyle Trask,39505740
Jalen McMillan,39506191
Riley Leonard,39505739
Michael Carter,39505911
Brandin Cooks,39506193
Zach Ertz,39506695
Samaje Perine,39505915
Trayveon Williams,39505923
Nate Noel,39506027
Ben Wooldridge,39505774
Lan Larison,39506065
Terrell Jennings,39506067
Brock Lampe,39506069
Sincere McCormick,39506071
Zamir White,39506073
Dylan Laube,39506075
Chris Collier,39506077
Will Howard,39505770
Skylar Thompson,39505771
Adrian Martinez,39505772
Brady Cook,39505773
Isaiah Davis,39505927
Trey Sermon,39506051
Evan Hull,39506053
Max Hurleman,39506055
Zach Evans,39506059
Donovan Edwards,39506061
Andrew Beck,39506063
Michael Pratt,39505766
Connor Bazelak,39505767
Easton Stick,39505768
Emory Jones,39505769
Sean Tucker,39506037
Carlos Washington Jr.,39506043
Elijah Dotson,39506045
Jashaun Corbin,39506047
Nathan Carter,39506049
Quinn Ewers,39505764
Jason Bean,39505765
Alec Ingold,39506029
Tyler Goodson,39506031
Salvon Ahmed,39506033
Ulysses Bentley IV,39506035
Clayton Tune,39505762
Hunter Dekkers,39505763
DeeJay Dallas,39506017
Zonovan Knight,39506019
Devin Neal,39506021
Velus Jones Jr.,39506023
Marcus Yarns,39506025
Tommy DeVito,39505742
Sam Hartman,39505761
Jeremy McNichols,39506003
Jacory Croskey-Merritt,39506005
Demetric Felton,39506007
Eric Gray,39506009
Dante Miller,39506011
Rushawn Baker,39506013
Kazmeir Allen,39506081
Darius Slayton,39506199
John Wolford,39505757
Seth Henigan,39505758
Jack Plummer,39505759
Raheem Blackshear,39505921
LeQuint Allen Jr.,39505991
Ja'Quinden Jackson,39505993
Emani Bailey,39505995
Kay'Ron Lynch-Adams,39505997
Jonathon Brooks,39505999
Deshaun Watson,39505755
Payton Thorne,39505756
Desmond Ridder,39505776
Ahmani Marshall,39505979
Troy Hairston,39505981
Tahj Brooks,39505983
Gary Brightwell,39505985
Kendall Milton,39505987
Quali Conley,39505989
Will Levis,39505741
Brandon Allen,39505743
Sam Ehlinger,39505754
Jermar Jefferson,39505917
Julius Chestnut,39505967
Kalel Mullings,39505969
Jordan Mims,39505971
Tyler Badie,39505973
Blake Watson,39505975
Michael Burton,39505977
Tyler Lockett,39506201
Kurtis Rourke,39505751
Tanner Mordecai,39505752
Patrick Taylor Jr.,39505919
Damien Martinez,39505955
George Holani,39505957
Jacardia Wright,39505959
Robbie Ouzts,39505961
Corey Kiner,39505963
Brady Russell,39506083
Sean Clifford,39505748
Taylor Elgersma,39505749
Kyle Allen,39505750
Chris Brooks,39505925
Jalen White,39505945
Craig Reynolds,39505947
Sione Vaki,39505949
Kye Robichaux,39505951
Jabari Small,39505953
Christian Watson,39506197
Tucker Kraft,39506697
Stetson Bennett IV,39505744
Dresser Winn,39505745
Graham Mertz,39505746
Kedon Slovis,39505747
Ronnie Rivers,39505929
Jordan Waters,39505933
British Brooks,39505939
Jawhar Jordan,39505941
Hunter Henry,39506699
Allen Lazard,39506205
Diontae Johnson,39506209
Devaughn Vele,39506207
Demarcus Robinson,39506203
Kayshon Boutte,39506211
Cade Otton,39506701
Parker Washington,39506213
Broncos ,39506991
Jaylin Noel,39506217
Ray-Ray McCloud III,39506221
Taysom Hill,39506703
Jaylin Lane,39506225
Commanders ,39506992
Jalen Coker,39506219
Andrei Iosivas,39506223
Dont'e Thornton Jr.,39506233
Bengals ,39506993
Tutu Atwell,39506229
Darren Waller,39506709
Greg Dortch,39506237
Cardinals ,39506994
Jacob Cowing,39506241
Dalton Schultz,39506707
Robert Woods,39506249
Adonai Mitchell,39506251
Pat Bryant,39506253
Dontayvion Wicks,39506245
Tyler Higbee,39506711
Rams ,39506995
Kendrick Bourne,39506255
Juwan Johnson,39506717
Brenton Strange,39506715
Xavier Restrepo,39506261
Jordan Watkins,39506259
Savion Williams,39506257
KhaDarel Hodge,39506279
Michael Gallup,39506277
Hunter Renfrow,39506275
Jaguars ,39506997
Treylon Burks,39506273
Kalif Raymond,39506271
Tank Dell,39506269
Terrance Ferguson,39506721
Patriots ,39506998
Mason Taylor,39506725
Sterling Shepard,39506285
Noah Brown,39506295
Jermaine Burton,39506293
Harold Fannin Jr.,39506723
Elic Ayomanor,39506291
Isaac TeSlaa,39506289
Donovan Peoples-Jones,39506301
Quintez Cephus,39506305
Isaiah Neyor,39506391
Phillip Dorsett II,39506309
Seth Williams,39506311
Ja'Lynn Polk,39506653
Javon Baker,39506655
Efton Chism III,39506657
John Jiles,39506659
DeMeer Blankumsee,39506661
Jeremiah Webb,39506663
Tommy Mellott,39506665
Collin Johnson,39506669
Kyle Philips,39506671
Shedrick Jackson,39506673
Ketron Jackson Jr.,39506675
Michael Mayer,39506727
Roman Wilson,39506617
Scotty Miller,39506619
Brandon Johnson,39506623
Lance McCutcheon,39506625
Roc Taylor,39506627
Ke'Shawn Williams,39506629
Montana Lemonious-Craig,39506631
Malachi Corley,39506633
Arian Smith,39506635
Tyler Johnson,39506637
Xavier Gipson,39506639
Irvin Charles,39506641
Brandon Smith,39506643
Ontaria Wilson,39506645
Dymere Miller,39506647
Jamaal Pritchett,39506649
Quentin Skinner,39506651
Trey Palmer,39506585
Ryan Miller,39506589
Rakim Jarrett,39506591
Kameron Johnson,39506593
Dennis Houston,39506595
Garrett Greene,39506597
Jamal Agnew,39506601
Chris Blair,39506603
Dylan Drummond,39506605
Jesse Matthews,39506607
David Sills V,39506609
Nick Nash,39506611
Makai Polk,39506613
Quincy Skinner Jr.,39506615
Buccaneers ,39506999
Tahj Washington,39506555
Tarik Black,39506557
Theo Wease Jr.,39506559
Andrew Armstrong,39506561
Monaray Baldwin,39506563
A.J. Henning,39506565
Ashton Dulin,39506567
Anthony Gould,39506569
Laquon Treadwell,39506571
Ajou Ajou,39506575
Blayne Taylor,39506577
Landon Parker,39506579
Coleman Owen,39506581
Tyler Kahmann,39506583
Cedrick Wilson Jr.,39506323
Kevin Austin Jr.,39506325
Simi Fehoko,39506529
Xavier Weaver,39506531
Andre Baccellia,39506533
Tejhaun Palmer,39506535
Quez Watkins,39506537
Trishton Jackson,39506539
Bryson Green,39506541
Dante Pettis,39506543
Mason Tipton,39506545
Moochie Dixon,39506547
Chris Tyree,39506549
Chris Moore,39506499
Mike Strachan,39506501
Ja'Corey Brooks,39506503
Jacoby Jones,39506505
Jalin Hyatt,39506507
Lil'Jordan Humphrey,39506509
Zach Pascal,39506511
Montrell Washington,39506517
Da'Quan Felton,39506519
Beaux Collins,39506521
Juice Wells Jr.,39506523
Jordan Bly,39506525
Dalen Cambre,39506527
David Moore,39506315
Joshua Cephus,39506465
Austin Trammell,39506467
Trenton Irwin,39506469
Louis Rees-Zammit,39506471
Chandler Brayboy,39506473
Eli Pancol,39506475
Cam Camper,39506477
Dorian Singer,39506479
Darius Lassiter,39506481
J.J. Jones,39506483
Jimmy Horn Jr.,39506485
Brycen Tremayne,39506489
T.J. Luther,39506491
Kobe Hudson,39506493
Jacolby George,39506495
David Bell,39506431
Jamari Thrash,39506433
Michael Woods II,39506435
DeAndre Carter,39506437
Kaden Davis,39506439
Luke Floriea,39506441
Gage Larvadain,39506443
Kisean Johnson,39506445
Cade McDonald,39506447
Charlie Jones,39506449
Kendric Pryor,39506451
Isaiah Williams,39506453
Cole Burgess,39506455
Mitchell Tinsley,39506457
Rashod Owens,39506459
Jordan Moore,39506461
Jamoi Mayes,39506463
Chimere Dike,39506403
Mason Kinsey,39506405
James Proche II,39506407
Jha'Quan Jackson,39506409
Colton Dowell,39506411
Bryce Oliver,39506413
A.T. Perry,39506419
Michael Bandy,39506421
Joaquin Davis,39506423
Courtney Jackson,39506425
Jerjuan Newton,39506427
Kyrese Rowan,39506429
Equanimeous St. Brown,39506303
John Rhys Plumlee,39506317
Tory Horton,39506373
Jake Bobo,39506375
Ricky White III,39506377
Steven Sims,39506379
Dareke Young,39506381
Cody White,39506383
Tyrone Broden,39506385
Montorie Foster Jr.,39506387
Junior Bergen,39506389
Russell Gage Jr.,39506393
Terique Owens,39506395
Isaiah Hodgins,39506397
Malik Knowles,39506399
Trent Taylor,39506401
Will Sheppard,39506299
Malik Heath,39506313
Mecole Hardman,39506353
Julian Hicks,39506355
Cornelius Johnson,39506357
Dominic Lovett,39506361
Ronnie Bell,39506365
Malik Taylor,39506367
Jackson Meeks,39506369
Jakobie Keeney-James,39506371
Xavier Hutchinson,39506319
Konata Mumpfield,39506327
Xavier Smith,39506329
Britain Covey,39506331
Tru Edwards,39506333
Brennan Presley,39506335
Mario Williams,39506337
Drake Stoops,39506339
Justin Watson,39506341
Braxton Berrios,39506343
Jared Wayne,39506345
Johnny Johnson III,39506347
Xavier Johnson,39506349
Daniel Jackson,39506351
Austin Hooper,39506731
Ja'Tavion Sanders,39506733
49ers ,39507000
Packers ,39507001
Jets ,39507003
Colts ,39507002
Julian Hill,39506745
Dolphins ,39507004
Foster Moreau,39506741
Elijah Arroyo,39506743
Lions ,39507005
Raiders ,39507006
Payne Durham,39506747
Falcons ,39507007
Gunnar Helm,39506751
Cade Stover,39506749
Mason Pline,39506811
Albert Okwuegbunam Jr.,39506935
Jaheim Bell,39506973
Jack Westover,39506975
CJ Dippre,39506977
Gee Scott Jr.,39506979
Justin Shorter,39506983
Qadir Ismail,39506985
Carter Runyon,39506987
Pat Conroy,39506989
Stone Smartt,39506759
Darnell Washington,39506957
Connor Heyward,39506959
JJ Galbreath,39506961
Donald Parham Jr.,39506963
DJ Thomas-Jones,39506965
Jeremy Ruckert,39506967
Zack Kuntz,39506969
Neal Johnson,39506971
Devin Culp,39506765
Ko Kieft,39506941
Tanner Taula,39506943
Evan Deckers,39506945
Charlie Woerner,39506947
Feleipe Franks,39506949
Teagan Quitoriano,39506951
Nikola Kalinic,39506953
Joshua Simon,39506955
Pharaoh Brown,39506919
Tanner Conner,39506921
Hayden Rucci,39506923
Jalin Conyers,39506925
Drew Ogletree,39506929
Jelani Woods,39506931
Sean McKeon,39506937
Maximilian Mang,39506939
Elijah Higgins,39506899
Josiah Deguara,39506901
Travis Vokolek,39506903
Oscar Cardenas,39506905
Jack Stoll,39506907
Moliki Matavao,39506909
Michael Jacobson,39506911
Seth Green,39506913
Treyton Welch,39506915
Zach Wood,39506917
John Bates,39506873
Colson Yankoff,39506877
Tyree Jackson,39506879
Lawrence Cager,39506881
Cole Turner,39506883
Tyler Ott,39506885
Daniel Bellinger,39506887
Chris Manhertz,39506889
Thomas Fidone II,39506893
Jermaine Terry II,39506895
Tyler Mabry,39506753
Tommy Tremble,39506757
Hunter Long,39506763
Johnny Mundt,39506855
Quintin Morris,39506857
Shawn Bowman,39506859
Patrick Herbert,39506861
John Copenhaver,39506863
Mitchell Evans,39506865
Dominique Dafney,39506867
James Mitchell,39506869
Bryce Pierre,39506871
Brenden Bates,39506833
Sal Cannella,39506835
Brent Matiscik,39506837
Drew Sample,39506839
Erick All Jr.,39506841
Tanner Hudson,39506843
Tanner McLachlan,39506845
Kole Taylor,39506849
William Wagner,39506851
Cal Adomitis,39506853
Josh Whyle,39506813
Thomas Odukoya,39506817
Drake Dabney,39506819
Lucas Krull,39506821
Nate Adkins,39506823
Caleb Lohner,39506825
Caden Prieskorn,39506827
Mitchell Fraboni,39506829
Nick Kallerup,39506799
Marshall Lang,39506801
Brayden Willis,39506807
Jake Tonges,39506809
Seahawks ,39507008
Ben Sims,39506779
Messiah Swinson,39506783
Johnny Lumpkin,39506785
Brock Wright,39506787
Kenny Yeboah,39506789
Shane Zylstra,39506791
Luke Deal,39506793
Zach Horton,39506795
Davis Allen,39506761
Mark Redman,39506767
Anthony Torres,39506769
Brevin Jordan,39506771
Luke Lachey,39506773
Jakob Johnson,39506777
Texans ,39507009
Saints ,39507010
Panthers ,39507011
Giants ,39507013
Titans ,39507014
