dk_name,suggested_nfl_name,similarity,dk_id,action
Kaleb Johnson,B.Johnson,0.7619047619047619,39505831,review_manually
Kaleb Johnson,K.Johnson,0.7619047619047619,39505831,review_manually
Kaleb Johnson,J.Johnson,0.6666666666666666,39505831,review_manually
Trevor Lawrence,T.Lawrence,0.75,39505704,review_manually
Isaac Guerendo,I.Guerendo,0.782608695652174,39505829,review_manually
Cooper Kupp,A.Cooper,0.6666666666666666,39506129,review_manually
Cooper Kupp,C.Kupp,0.625,39506129,review_manually
Geno Smith,G.Smith,0.75,39505706,review_manually
Geno Smith,J.Smith,0.625,39505706,review_manually
Geno Smith,I.Smith,0.625,39505706,review_manually
Aaron Rodgers,A.Rodgers,0.7619047619047619,39505705,review_manually
Aaron Rodgers,A.Barner,0.6,39505705,review_manually
Jaylen Warren,J.Warren,0.7,39505833,review_manually
Deebo Samuel Sr.,D.Samuel,0.7368421052631579,39506133,review_manually
Deebo Samuel Sr.,C.Samuel,0.631578947368421,39506133,review_manually
Tetairoa McMillan,J.McMillan,0.6153846153846154,39506135,review_manually
Nick Chubb,N.Chubb,0.75,39505835,review_manually
Jakobi Meyers,J.Meyers,0.7,39506137,review_manually
Rachaad White,C.White,0.631578947368421,39505839,review_manually
Rachaad White,R.White,0.631578947368421,39505839,review_manually
Anthony Richardson Sr.,A.Richardson,0.7586206896551724,39505707,review_manually
Daniel Jones,J.Daniels,0.7,39505708,review_manually
Daniel Jones,A.Jones,0.6666666666666666,39505708,review_manually
Daniel Jones,D.Jones,0.6666666666666666,39505708,review_manually
Chris Olave,C.Olave,0.7058823529411765,39506139,review_manually
Raheem Mostert,R.Mostert,0.7272727272727273,39505847,review_manually
Tyler Allgeier,T.Allgeier,0.782608695652174,39505849,review_manually
Darnell Mooney,D.Mooney,0.6666666666666666,39506143,review_manually
Russell Wilson,R.Wilson,0.6666666666666666,39505709,review_manually
Russell Wilson,E.Wilson,0.6666666666666666,39505709,review_manually
Russell Wilson,J.Russell,0.6363636363636364,39505709,review_manually
