lineup,slot,name,pos,team,opp,salary,proj_points
15,RB,Jahmyr Gibbs,RB,DET,GB,7700,23.19
15,RB,Alvin Kamara,RB,NO,ARI,6300,19.59
15,WR,Chris Godwin,WR,TB,ATL,5600,20.54
15,WR,Davante Adams,WR,LAR,HOU,6100,17.88
15,WR,Stefon Diggs,WR,NE,LV,5300,15.24
15,TE,George Kittle,TE,SF,SEA,5800,16.57
15,FLEX,Jakobi Meyers,WR,LV,NE,5100,15.13
15,DST,New Orleans Saints,DST,NO,ARI,1500,3.3
15,TOTAL,,,,,50000,154.69
16,QB,Baker Mayfield,QB,TB,ATL,6600,23.25
16,RB,Jahmyr Gibbs,RB,DET,GB,7700,23.19
16,RB,Alvin Kamara,RB,NO,ARI,6300,19.59
16,WR,Chris Godwin,WR,TB,ATL,5600,20.54
16,WR,Stefon Diggs,WR,NE,LV,5300,15.24
16,WR,Jakobi Meyers,WR,LV,NE,5100,15.13
16,TE,George Kittle,TE,SF,SEA,5800,16.57
16,FLEX,Joe Mixon,RB,HOU,LAR,6200,18.78
16,DST,Pittsburgh Steelers,DST,PIT,NYJ,1200,2.4
16,TOTAL,,,,,49800,154.69000000000003
17,QB,Joe Burrow,QB,CIN,CLE,6900,23.99
17,RB,Alvin Kamara,RB,NO,ARI,6300,19.59
17,RB,Joe Mixon,RB,HOU,LAR,6200,18.78
17,WR,Chris Godwin,WR,TB,ATL,5600,20.54
17,WR,Tee Higgins,WR,CIN,CLE,6400,19.09
17,WR,Davante Adams,WR,LAR,HOU,6100,17.88
17,TE,George Kittle,TE,SF,SEA,5800,16.57
17,FLEX,Stefon Diggs,WR,NE,LV,5300,15.24
17,DST,Denver Broncos,DST,DEN,TEN,1400,3.0
17,TOTAL,,,,,50000,154.68
18,QB,Joe Burrow,QB,CIN,CLE,6900,23.99
18,RB,Alvin Kamara,RB,NO,ARI,6300,19.59
18,RB,Joe Mixon,RB,HOU,LAR,6200,18.78
18,WR,Chris Godwin,WR,TB,ATL,5600,20.54
18,WR,Tee Higgins,WR,CIN,CLE,6400,19.09
18,WR,Stefon Diggs,WR,NE,LV,5300,15.24
18,TE,George Kittle,TE,SF,SEA,5800,16.57
18,FLEX,Jakobi Meyers,WR,LV,NE,5100,15.13
18,DST,New York Giants,DST,NYG,WAS,2300,5.7
18,TOTAL,,,,,49900,154.63
19,QB,Joe Burrow,QB,CIN,CLE,6900,23.99
19,RB,Alvin Kamara,RB,NO,ARI,6300,19.59
19,RB,Joe Mixon,RB,HOU,LAR,6200,18.78
19,WR,Chris Godwin,WR,TB,ATL,5600,20.54
19,WR,Tee Higgins,WR,CIN,CLE,6400,19.09
19,WR,Jakobi Meyers,WR,LV,NE,5100,15.13
19,TE,George Kittle,TE,SF,SEA,5800,16.57
19,FLEX,Kenneth Walker III,RB,SEA,SF,5900,16.74
19,DST,Carolina Panthers,DST,CAR,JAX,1800,4.2
19,TOTAL,,,,,50000,154.63
20,QB,Baker Mayfield,QB,TB,ATL,6600,23.25
20,RB,Alvin Kamara,RB,NO,ARI,6300,19.59
20,RB,Jonathan Taylor,RB,IND,MIA,6800,19.26
20,WR,Chris Godwin,WR,TB,ATL,5600,20.54
20,WR,Tee Higgins,WR,CIN,CLE,6400,19.09
20,WR,Jakobi Meyers,WR,LV,NE,5100,15.13
20,TE,George Kittle,TE,SF,SEA,5800,16.57
20,FLEX,Joe Mixon,RB,HOU,LAR,6200,18.78
20,DST,Pittsburgh Steelers,DST,PIT,NYJ,1200,2.4
20,TOTAL,,,,,50000,154.61
