lineup,slot,name,pos,team,opp,salary,proj_points
12,RB,Jahmyr Gibbs,RB,DET,GB,7700,23.159593318891773
12,RB,Alvin Kamara,RB,NO,ARI,6300,19.564313631612322
12,WR,Chris Godwin,WR,TB,ATL,5600,20.513067993533287
12,WR,Stefon Diggs,WR,NE,LV,5300,15.220017342816325
12,WR,Jakobi Meyers,WR,LV,NE,5100,15.110161574593898
12,TE,George Kittle,TE,SF,SEA,5800,16.548273449505675
12,FLEX,Joe Mixon,RB,HOU,LAR,6200,18.755375701974447
12,DST,San Francisco 49ers,DST,SF,SEA,2700,6.890952733952274
12,TOTAL,,,,,50000,154.99650207382504
13,QB,Joe Burrow,QB,CIN,CLE,6900,23.958544360509425
13,RB,Alvin Kamara,RB,NO,ARI,6300,19.564313631612322
13,RB,Joe Mixon,RB,HOU,LAR,6200,18.755375701974447
13,WR,Chris Godwin,WR,TB,ATL,5600,20.513067993533287
13,WR,Tee Higgins,WR,CIN,CLE,6400,19.06496923060129
13,WR,Davante Adams,WR,LAR,HOU,6100,17.856555780154586
13,TE,George Kittle,TE,SF,SEA,5800,16.548273449505675
13,FLEX,Jakobi Meyers,WR,LV,NE,5100,15.110161574593898
13,DST,Arizona Cardinals,DST,ARI,NO,1600,3.595279687279447
13,TOTAL,,,,,50000,154.96654140976437
14,QB,Sam Darnold,QB,SEA,SF,5300,19.234746326945043
14,RB,Alvin Kamara,RB,NO,ARI,6300,19.564313631612322
14,RB,Joe Mixon,RB,HOU,LAR,6200,18.755375701974447
14,WR,Ja'Marr Chase,WR,CIN,CLE,8100,24.557757641722667
14,WR,Chris Godwin,WR,TB,ATL,5600,20.513067993533287
14,WR,Jakobi Meyers,WR,LV,NE,5100,15.110161574593898
14,TE,George Kittle,TE,SF,SEA,5800,16.548273449505675
14,FLEX,Chuba Hubbard,RB,CAR,JAX,6000,17.087565402597594
14,DST,Arizona Cardinals,DST,ARI,NO,1600,3.595279687279447
14,TOTAL,,,,,50000,154.96654140976437
15,QB,Sam Darnold,QB,SEA,SF,5300,19.234746326945043
15,RB,Alvin Kamara,RB,NO,ARI,6300,19.564313631612322
15,RB,Joe Mixon,RB,HOU,LAR,6200,18.755375701974447
15,WR,Ja'Marr Chase,WR,CIN,CLE,8100,24.557757641722667
15,WR,Chris Godwin,WR,TB,ATL,5600,20.513067993533287
15,WR,Davante Adams,WR,LAR,HOU,6100,17.856555780154586
15,TE,George Kittle,TE,SF,SEA,5800,16.548273449505675
15,FLEX,Stefon Diggs,WR,NE,LV,5300,15.220017342816325
15,DST,Tennessee Titans,DST,TEN,DEN,1300,2.6964597654595854
15,TOTAL,,,,,50000,154.94656763372396
16,QB,Sam Darnold,QB,SEA,SF,5300,19.234746326945043
16,RB,Jahmyr Gibbs,RB,DET,GB,7700,23.159593318891773
16,RB,Alvin Kamara,RB,NO,ARI,6300,19.564313631612322
16,WR,Chris Godwin,WR,TB,ATL,5600,20.513067993533287
16,WR,Tee Higgins,WR,CIN,CLE,6400,19.06496923060129
16,WR,Davante Adams,WR,LAR,HOU,6100,17.856555780154586
16,TE,George Kittle,TE,SF,SEA,5800,16.548273449505675
16,FLEX,Jakobi Meyers,WR,LV,NE,5100,15.110161574593898
16,DST,Green Bay Packers,DST,GB,DET,1700,3.8948863278860673
16,TOTAL,,,,,50000,154.94656763372393
17,QB,Joe Burrow,QB,CIN,CLE,6900,23.958544360509425
17,RB,Jahmyr Gibbs,RB,DET,GB,7700,23.159593318891773
17,RB,Alvin Kamara,RB,NO,ARI,6300,19.564313631612322
17,WR,Chris Godwin,WR,TB,ATL,5600,20.513067993533287
17,WR,Stefon Diggs,WR,NE,LV,5300,15.220017342816325
17,WR,Jakobi Meyers,WR,LV,NE,5100,15.110161574593898
17,TE,George Kittle,TE,SF,SEA,5800,16.548273449505675
17,FLEX,Joe Mixon,RB,HOU,LAR,6200,18.755375701974447
17,DST,New York Jets,DST,NYJ,PIT,1100,2.097246484246344
17,TOTAL,,,,,50000,154.92659385768349
18,QB,Sam Darnold,QB,SEA,SF,5300,19.234746326945043
18,RB,Alvin Kamara,RB,NO,ARI,6300,19.564313631612322
18,RB,Joe Mixon,RB,HOU,LAR,6200,18.755375701974447
18,WR,Ja'Marr Chase,WR,CIN,CLE,8100,24.557757641722667
18,WR,Chris Godwin,WR,TB,ATL,5600,20.513067993533287
18,WR,Jakobi Meyers,WR,LV,NE,5100,15.110161574593898
18,TE,George Kittle,TE,SF,SEA,5800,16.548273449505675
18,FLEX,Kenneth Walker III,RB,SEA,SF,5900,16.718050545849426
18,DST,Green Bay Packers,DST,GB,DET,1700,3.8948863278860673
18,TOTAL,,,,,50000,154.89663319362285
19,QB,Baker Mayfield,QB,TB,ATL,6600,23.219514647013092
19,RB,Alvin Kamara,RB,NO,ARI,6300,19.564313631612322
19,RB,Joe Mixon,RB,HOU,LAR,6200,18.755375701974447
19,WR,Chris Godwin,WR,TB,ATL,5600,20.513067993533287
19,WR,Tee Higgins,WR,CIN,CLE,6400,19.06496923060129
19,WR,Stefon Diggs,WR,NE,LV,5300,15.220017342816325
19,TE,George Kittle,TE,SF,SEA,5800,16.548273449505675
19,FLEX,Jakobi Meyers,WR,LV,NE,5100,15.110161574593898
19,DST,San Francisco 49ers,DST,SF,SEA,2700,6.890952733952274
19,TOTAL,,,,,50000,154.88664630560262
20,QB,Baker Mayfield,QB,TB,ATL,6600,23.219514647013092
20,RB,Jahmyr Gibbs,RB,DET,GB,7700,23.159593318891773
20,RB,Alvin Kamara,RB,NO,ARI,6300,19.564313631612322
20,WR,Chris Godwin,WR,TB,ATL,5600,20.513067993533287
20,WR,Tee Higgins,WR,CIN,CLE,6400,19.06496923060129
20,WR,Stefon Diggs,WR,NE,LV,5300,15.220017342816325
20,TE,George Kittle,TE,SF,SEA,5800,16.548273449505675
20,FLEX,Jakobi Meyers,WR,LV,NE,5100,15.110161574593898
20,DST,Pittsburgh Steelers,DST,PIT,NYJ,1200,2.3968531248529645
20,TOTAL,,,,,50000,154.79676431342062
21,QB,Sam Darnold,QB,SEA,SF,5300,19.234746326945043
21,RB,Jahmyr Gibbs,RB,DET,GB,7700,23.159593318891773
21,RB,Alvin Kamara,RB,NO,ARI,6300,19.564313631612322
21,WR,Chris Godwin,WR,TB,ATL,5600,20.513067993533287
21,WR,Davante Adams,WR,LAR,HOU,6100,17.856555780154586
21,WR,Stefon Diggs,WR,NE,LV,5300,15.220017342816325
21,TE,George Kittle,TE,SF,SEA,5800,16.548273449505675
21,FLEX,Joe Mixon,RB,HOU,LAR,6200,18.755375701974447
21,DST,Green Bay Packers,DST,GB,DET,1700,3.8948863278860673
21,TOTAL,,,,,50000,154.74682987331954
22,QB,Joe Burrow,QB,CIN,CLE,6900,23.958544360509425
22,RB,Alvin Kamara,RB,NO,ARI,6300,19.564313631612322
22,RB,Joe Mixon,RB,HOU,LAR,6200,18.755375701974447
22,WR,Chris Godwin,WR,TB,ATL,5600,20.513067993533287
22,WR,Tee Higgins,WR,CIN,CLE,6400,19.06496923060129
22,WR,Stefon Diggs,WR,NE,LV,5300,15.220017342816325
22,TE,George Kittle,TE,SF,SEA,5800,16.548273449505675
22,FLEX,Jakobi Meyers,WR,LV,NE,5100,15.110161574593898
22,DST,New England Patriots,DST,NE,LV,2400,5.992132812132411
22,TOTAL,,,,,50000,154.7268560972791
23,QB,Sam Darnold,QB,SEA,SF,5300,19.234746326945043
23,RB,Jahmyr Gibbs,RB,DET,GB,7700,23.159593318891773
23,RB,Alvin Kamara,RB,NO,ARI,6300,19.564313631612322
23,WR,Chris Godwin,WR,TB,ATL,5600,20.513067993533287
23,WR,Tee Higgins,WR,CIN,CLE,6400,19.06496923060129
23,WR,Stefon Diggs,WR,NE,LV,5300,15.220017342816325
23,TE,George Kittle,TE,SF,SEA,5800,16.548273449505675
23,FLEX,Jakobi Meyers,WR,LV,NE,5100,15.110161574593898
23,DST,Las Vegas Raiders,DST,LV,NE,2500,6.291739452739032
23,TOTAL,,,,,50000,154.70688232123862
24,QB,Sam Darnold,QB,SEA,SF,5300,19.234746326945043
24,RB,Alvin Kamara,RB,NO,ARI,6300,19.564313631612322
24,RB,Chuba Hubbard,RB,CAR,JAX,6000,17.087565402597594
24,WR,Ja'Marr Chase,WR,CIN,CLE,8100,24.557757641722667
24,WR,Chris Godwin,WR,TB,ATL,5600,20.513067993533287
24,WR,Tee Higgins,WR,CIN,CLE,6400,19.06496923060129
24,TE,George Kittle,TE,SF,SEA,5800,16.548273449505675
24,FLEX,Jakobi Meyers,WR,LV,NE,5100,15.110161574593898
24,DST,Denver Broncos,DST,DEN,TEN,1400,2.9960664060662054
24,TOTAL,,,,,50000,154.67692165717799
25,QB,Baker Mayfield,QB,TB,ATL,6600,23.219514647013092
25,RB,Alvin Kamara,RB,NO,ARI,6300,19.564313631612322
25,RB,Joe Mixon,RB,HOU,LAR,6200,18.755375701974447
25,WR,Chris Godwin,WR,TB,ATL,5600,20.513067993533287
